Name,Role,Price,Points,Team
Fabiansky,GK,5,143,WHU
Alisson,GK,6,176,LIV
Adrian,GK,4.5,72,LIV
Ederson,GK,6,169,MCI
Krul,GK,4.5,23,NOR
Leno,GK,5,106,ARS
Martinez,GK,4.5,8,ARS
Nyland,GK,4.5,0,AVL
Heaton,GK,4.5,58,AVL
Steer,GK,4.5,2,AVL
Kalinic,GK,4.5,0,AVL
Begovic,GK,4.5,63,BOU
Boruc,GK,4.5,46,BOU
Travers,GK,4.5,9,BOU
Ramsdale,GK,4.5,0,BOU
Ryan,GK,4.5,0,BHA
Button,GK,4,15,BHA
Pope,GK,4.5,0,BUR
Hart,GK,4.5,69,BUR
Peacock,GK,4.5,0,BUR
Kepa,GK,5.5,142,CHE
Caballero,GK,5,13,CHE
Guaita,GK,5,81,CRY
Hennessey,GK,4.5,67,CRY
Pickford,GK,5.5,161,EVE
Stekelenburg,GK,4,0,EVE
Lossl,GK,4.5,99,EVE
Schmeichel,GK,5,120,LEI
Jakupovic,GK,4.5,0,LEI
Ward,GK,4.5,0,LEI
Mignolet,GK,4.5,0,LIV
Bravo,GK,5,0,MCI
De Gea,GK,5.5,120,MUN
Romero,GK,5,0,MUN
Grant,GK,5,0,MUN
Dubravka,GK,5,131,NEW
Darlow,GK,4.5,0,NEW
Woodman,GK,4,0,NEW
McGovern,GK,4,0,NOR
Fahrmann,GK,4.5,0,NOR
Eastwood,GK,4.5,0,SHU
Moore,GK,4.5,0,SHU
Henderson,GK,4.5,0,SHU
Verrips,GK,4.5,0,SHU
Forster,GK,4.5,2,SOU
McCarthy,GK,4.5,73,SOU
Gunn,GK,4.5,47,SOU
Lloris,GK,5.5,145,TOT
Gazzaniga,GK,4.5,13,TOT
Foster,GK,5,129,WAT
Dahlberg,GK,4.5,0,WAT
Gomes,GK,4.5,0,WAT
Roberto,GK,4.5,0,WHU
Patricio,GK,5,118,WOL
Ruddy,GK,4.5,7,WOL
Norris,GK,4,1,WOL
VanDijk,D,6.5,208,LIV
Arnold,D,7,185,LIV
Walker,D,6,150,MCI
Robertson,D,7,213,LIV
Gomez,D,5.5,55,LIV
Laporte,D,6.5,177,MCI
Zinchenko,D,5.5,44,MCI
Stones,D,5.5,83,MCI
Cresswell,D,5,34,WHU
Fredericks,D,4.5,38,WHU
Diop,D,4.5,87,WHU
Balbuena,D,4.5,61,WHU
Mustafi,D,5.5,80,ARS
Bellerin,D,5.5,60,ARS
Kalasinac,D,5.5,81,ARS
MaitlandNiels,D,5,34,ARS
Sokratis,D,5,64,ARS
Monreal,D,5,77,ARS
Koscienly,D,5,62,ARS
Mavropanos,D,4.5,3,ARS
Jenkinson,D,4.5,4,ARS
Holding,D,4.5,24,ARS
DavidLuiz,D,6,164,ARS
Chambers,D,4.5,60,ARS
Tierney,D,5.5,0,ARS
ElMohanady,D,4.5,62,AVL
Chester,D,4.5,0,AVL
Taylor,D,4.5,22,AVL
Hause,D,4.5,0,AVL
Targett,D,4.5,36,AVL
Mings,D,4.5,5,AVL
Konsa,D,4.5,0,AVL
Engels,D,4.5,0,AVL
Guilbert,D,4.5,0,AVL
Cook,D,5,85,BOU
Ake,D,5,120,BOU
Daniels,D,4.5,44,BOU
Mepham,D,4.5,27,BOU
Francis,D,4.5,40,BOU
Adam Smith,D,4.5,70,BOU
Kelly,D,4.5,0,BOU
Rico,D,4,8,BOU
Simpson,D,4,10,BOU
Stacey,D,4.5,0,BOU
Duffy,D,5,115,BHA
Montoya,D,4.5,45,BHA
Bernardo,D,4.5,39,BHA
Balogun,D,4.5,15,BHA
Bong,D,4.5,48,BHA
Dunk,D,4.5,91,BHA
Clarke,D,4.5,0,BHA
Burn,D,4.5,0,BHA
Webster,D,4.5,0,BHA
Mee,D,5,81,BUR
Tarkowski,D,5,97,BUR
Lowton,D,4.5,34,BUR
Bardsley,D,4.5,33,BUR
Taylor,D,4.5,82,BUR
Long,D,4.5,16,BUR
Gibson,D,4,6,BUR
Pieters,D,4.5,71,BUR
Alonso,D,6.5,161,CHE
Rudiger,D,6,116,CHE
Azpilicueta,D,6,158,CHE
Emerson,D,5.5,22,CHE
Christensen,D,5,22,CHE
Zappacosta,D,4.5,9,CHE
Zouma,D,5,112,CHE
James,D,5,0,CHE
VanAanholt,D,5.5,140,CRY
Tomkins,D,5,86,CRY
Sakho,D,5,88,CRY
Ward,D,4.5,13,CRY
Dann,D,4.5,23,CRY
Kelly,D,4,26,CRY
Cahill,D,4.5,2,CRY
Digne,D,6,158,EVE
Mina,D,5.5,36,EVE
Keane,D,5.5,129,EVE
Coleman,D,5.5,125,EVE
Baines,D,5,7,EVE
Delph,D,5.5,29,EVE
Gibson,D,4.5,0,EVE
Holgate,D,4.5,5,EVE
Sidibe,D,5.5,0,EVE
Pereira,D,6,146,LEI
Chilwell,D,5.5,118,LEI
Evans,D,5,77,LEI
Fuchs,D,4.5,3,LEI
Soyuncu,D,4.5,9,LEI
Margon,D,4.5,76,LEI
Justin,D,5,0,LEI
Matip,D,5.5,83,LIV
Lovren,D,5.5,63,LIV
Mendy,D,6,59,MCI
Otamendi,D,5.5,70,MCI
Danilo,D,5,46,MCI
Angelino,D,5,0,MCI
Cancelo,D,5.5,0,MCI
WanBissaka,D,5.5,120,MUN
Maguire,D,5.5,92,MUN
Smalling,D,5.5,56,MUN
Young,D,5.5,73,MUN
Lindelof,D,5.5,85,MUN
Shaw,D,5.5,91,MUN
Rojo,D,5,2,MUN
Bailly,D,5,16,MUN
Dalot,D,5,27,MUN
Darmian,D,5,14,MUN
Jones,D,5,43,MUN
Tuanzebe,D,4.5,1,MUN
